8.47485,8.81229,,5327.64591,5327.91009,,Latitudes,,difference,squared difference
4.14252,4.27683,,5325.20391,5325.14619,,4.14252,4.27683,-0.13431000007102,0.018039176
3.78177,4.14252,,5324.92419,5325.20391,,3.78177,4.14252,-0.3607499998779,0.130140562
3.66966,3.78177,,5325.07959,5324.92419,,3.66966,3.78177,-0.11211000020594,0.012568652
3.79953,3.66966,,5324.81319,5325.07959,,3.79953,3.66966,0.12987000009801,0.016866217
4.03818,3.79953,,5324.59119,5324.81319,,4.03818,3.79953,0.23864999963407,0.056953822
3.92718,4.03818,,5324.53236,5324.59119,,3.92718,4.03818,-0.1110000001141,0.012321
3.98934,3.92718,,5324.46021,5324.53236,,3.98934,3.92718,0.0621600004109299,0.003863866
4.02597,3.98934,,5324.41692,5324.46021,,4.02597,3.98934,0.03662999987597,0.001341757
4.01487,4.02597,,5324.39028,5324.41692,,4.01487,4.02597,-0.0110999997353698,0.00012321
3.99711,4.01487,,5324.3481,5324.39028,,3.99711,4.01487,-0.0177600002864104,0.000315418
3.98601,3.99711,,5324.32146,5324.3481,,3.98601,3.99711,-0.0110999997353698,0.00012321
3.99378,3.98601,,5324.31258,5324.32146,,3.99378,3.98601,0.00777000024853969,6.03729E-05
3.96936,3.99378,,5324.26263,5324.31258,,3.96936,3.99378,-0.0244200004431097,0.000596336
3.98379,3.96936,,5324.26929,5324.26263,,3.98379,3.96936,0.0144300000108899,0.000208225
3.96714,3.98379,,5324.23488,5324.26929,,3.96714,3.98379,-0.0166499998002201,0.000277222
3.96603,3.96714,,5324.23155,5324.23488,,3.96603,3.96714,-0.00111000009184004,1.2321E-06
3.96825,3.96603,,5324.16717,5324.23155,,3.96825,3.96603,0.00221999978933018,4.9284E-06
3.91386,3.96825,,5324.0706,5324.16717,,3.91386,3.96825,-0.0543899997680399,0.002958272
3.85392,3.91386,,5323.96293,5324.0706,,3.85392,3.91386,-0.0599400002272401,0.003592804
3.90054,3.85392,,5323.92186,5323.96293,,3.90054,3.85392,0.0466200003082,0.002173424
3.8295,3.90054,,5323.76535,5323.92186,,3.8295,3.90054,-0.0710399999626099,0.005046682
3.77733,3.8295,,5323.67322,5323.76535,,3.77733,3.8295,-0.0521700003730601,0.002721709
3.76845,3.77733,,5323.6599,5323.67322,,3.76845,3.77733,-0.00887999994603028,7.88544E-05
3.74403,3.76845,,5323.63992,5323.6599,,3.74403,3.76845,-0.0244200000487598,0.000596336
3.73404,3.74403,,5323.57998,5323.63992,,3.73404,3.74403,-0.00998999964351999,9.98001E-05
3.7296,3.73404,,5323.58997,5323.57998,,3.7296,3.73404,-0.00444000036736991,1.97136E-05
3.7185,3.7296,,5323.59663,5323.58997,,3.7185,3.7296,-0.0110999997353702,0.00012321
3.65301,3.7185,,5323.54446,5323.59663,,3.65301,3.7185,-0.0654899998977498,0.00428894
3.57642,3.65301,,5323.47453,5323.54446,,3.57642,3.65301,-0.0765900000274602,0.005866028
3.552,3.57642,,5323.45122,5323.47453,,3.552,3.57642,-0.0244200000487598,0.000596336
3.53091,3.552,,5323.4268,5323.45122,,3.53091,3.552,-0.02109000016759,0.000444788
3.37662,3.53091,,5323.27695,5323.4268,,3.37662,3.53091,-0.15428999975243,0.023805404
3.3633,3.37662,,5323.26363,5323.27695,,3.3633,3.37662,-0.0133200003134002,0.000177422
3.35109,3.3633,,5323.24587,5323.26363,,3.35109,3.3633,-0.0122099998272001,0.000149084
3.36663,3.35109,,5323.25697,5323.24587,,3.36663,3.35109,0.0155400001027304,0.000241492
3.37218,3.36663,,5323.26363,5323.25697,,3.37218,3.36663,0.00554999967050973,3.08025E-05
3.34887,3.37218,,5323.24254,5323.26363,,3.34887,3.37218,-0.0233099999569299,0.000543356
